instance,method,seed,value,time,evaluations,feasible,gen_to_best,final_diversity
SC_n500_R1000_s900,GA-FIX-UX+SWAP,3,157946.0,2.9607662460002757,19700,True,45,0.006783200000000001
SC_n500_R1000_s900,GA-FIX-UX+SWAP,4,157946.0,3.2650918349972926,19700,True,34,0.012020000000000003
SC_n500_R1000_s900,GA-FIX-UX+SWAP,5,157946.0,3.2221470039985434,19700,True,33,0.003548800000000001
SC_n500_R1000_s901,GA-FIX-1P+BF1,0,158641.0,2.3039320110001427,19700,True,31,0.004299200000000001
SC_n500_R1000_s901,GA-FIX-1P+BF1,1,158741.0,2.4918704609990527,19700,True,35,0.0032184000000000006
SC_n500_R1000_s901,GA-FIX-1P+BF1,2,158741.0,2.529723854000622,19700,True,57,0.003411200000000002
SC_n500_R1000_s901,GA-FIX-1P+BF1,3,158741.0,2.6105347020020417,19700,True,62,0.0017672
SC_n500_R1000_s901,GA-FIX-1P+BF1,4,158541.0,2.5591859559972363,19700,True,31,0.0033984000000000006
SC_n500_R1000_s901,GA-FIX-1P+BF1,5,158641.0,2.6783776420015784,19700,True,177,0.0037416000000000007
SC_n500_R1000_s901,GA-FIX-1P+BF3,0,158841.0,2.745800827000494,19700,True,53,0.010120800000000006
SC_n500_R1000_s901,GA-FIX-1P+BF3,1,158841.0,2.024300539000251,19700,True,39,0.012124800000000005
SC_n500_R1000_s901,GA-FIX-1P+BF3,2,158841.0,3.08526766200157,19700,True,73,0.012583200000000004
SC_n500_R1000_s901,GA-FIX-1P+BF3,3,158841.0,3.212346663000062,19700,True,63,0.010120000000000004
SC_n500_R1000_s901,GA-FIX-1P+BF3,4,158841.0,3.1270306650003477,19700,True,56,0.011155200000000004
SC_n500_R1000_s901,GA-FIX-1P+BF3,5,158841.0,3.2023096100019757,19700,True,41,0.010372800000000005
SC_n500_R1000_s901,GA-FIX-1P+SWAP,0,158741.0,2.678938675999234,19700,True,38,0.0048208
SC_n500_R1000_s901,GA-FIX-1P+SWAP,1,158741.0,2.722075991998281,19700,True,37,0.004673600000000001
SC_n500_R1000_s901,GA-FIX-1P+SWAP,2,158741.0,3.0590166960028,19700,True,34,0.0056240000000000005
SC_n500_R1000_s901,GA-FIX-1P+SWAP,3,158841.0,2.8418207280010392,19700,True,42,0.0053024000000000005
SC_n500_R1000_s901,GA-FIX-1P+SWAP,4,158841.0,3.117814195997198,19700,True,46,0.004673600000000002
SC_n500_R1000_s901,GA-FIX-1P+SWAP,5,158641.0,2.8920664520010178,19700,True,34,0.009187200000000005
SC_n500_R1000_s901,GA-FIX-2P+BF1,0,158841.0,2.7700943749987346,19700,True,124,0.0022848
SC_n500_R1000_s901,GA-FIX-2P+BF1,1,158741.0,1.6813260269991588,19700,True,36,0.002108000000000001
