instance,method,seed,value,time,evaluations,feasible,gen_to_best,final_diversity,reference,gap_pct,optimal_hit,family,class,n,m
ASC_n500_R1000_s901,GA-QL-c,1,158811.0,2.627260176999698,19700,True,49,0.008017600000000005,158827.0,0.010073853941710162,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL-c,2,158808.0,3.109326238001813,19700,True,169,0.009199200000000005,158827.0,0.011962701555780818,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL-c,3,158706.0,3.075074845997733,19700,True,24,0.013362400000000009,158827.0,0.07618352043418311,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL-c,4,158712.0,2.863441204000992,19700,True,183,0.0102048,158827.0,0.07240582520604179,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL-c,5,158818.0,2.228725332999602,19700,True,72,0.013399200000000007,158827.0,0.005666542842211966,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-RAND,0,158805.0,3.059828870002093,19700,True,48,0.0020000000000000005,158827.0,0.013851549169851474,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-RAND,1,158812.0,2.815462334001495,19700,True,149,0.0026872000000000016,158827.0,0.009444238070353278,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-RAND,2,158812.0,2.4425747860004776,19700,True,71,0.007806400000000002,158827.0,0.009444238070353278,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-RAND,3,158816.0,3.0349960800012923,19700,True,167,0.007648000000000004,158827.0,0.006925774584925737,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-RAND,4,158803.0,2.15924427599748,19700,True,50,0.004816000000000001,158827.0,0.015110780912565245,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-RAND,5,158806.0,2.93096905800121,19700,True,189,0.003477600000000001,158827.0,0.013221933298494588,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-UCB,0,158810.0,2.8982670690020313,19700,True,76,0.006862400000000003,158827.0,0.010703469813067048,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-UCB,1,158812.0,3.038695416998962,19700,True,56,0.001726400000000001,158827.0,0.009444238070353278,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-UCB,2,158813.0,2.981484930998704,19700,True,108,0.005612800000000001,158827.0,0.008814622198996392,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-UCB,3,158806.0,2.107534946000669,19700,True,66,0.011258400000000005,158827.0,0.013221933298494588,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-UCB,4,158808.0,2.708105596000678,19700,True,46,0.008072800000000005,158827.0,0.011962701555780818,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-UCB,5,158798.0,2.854322721999779,19700,True,30,0.0054464000000000005,158827.0,0.01825886026934967,False,pisinger-gen,ASC,500,1
SC_n500_R1000_s900,GA,0,157746.0,2.510939560001134,19700,True,32,0.003696800000000001,157946.0,0.12662555556962507,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA,1,157746.0,2.582461828002124,19700,True,60,0.0045288,157946.0,0.12662555556962507,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA,2,157846.0,2.070221092002612,19700,True,136,0.0041752000000000004,157946.0,0.06331277778481254,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA,3,157746.0,1.9516763400024502,19700,True,36,0.004329600000000001,157946.0,0.12662555556962507,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA,4,157746.0,2.4943011759969522,19700,True,36,0.0027488000000000005,157946.0,0.12662555556962507,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA,5,157746.0,2.505686030999641,19700,True,27,0.004026400000000001,157946.0,0.12662555556962507,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL,0,157846.0,2.8224903020018246,19700,True,25,0.014866400000000007,157946.0,0.06331277778481254,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL,1,157946.0,3.0197950279980432,19700,True,36,0.010099200000000004,157946.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL,2,157946.0,3.047081585998967,19700,True,31,0.0027520000000000014,157946.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL,3,157846.0,2.982496283002547,19700,True,24,0.009685600000000003,157946.0,0.06331277778481254,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL,4,157846.0,2.5530099620009423,19700,True,39,0.009988000000000004,157946.0,0.06331277778481254,False,pisinger-gen,SC,500,1
