instance,family,class,n,m,optimum_file,greedy,t_greedy,ub_lp,f_n,f_m,f_tightness,f_corr_vw,f_cv_ratio,f_cv_w,f_cv_v,f_greedy_gap_ub,milp,t_milp,milp_status,milp_bound
OR10x100-0.25_1.dat,orlib-mkp,MKP-OR10x100,100,10,,21535.0,0.001046471003064653,23480.639351670034,100,10,0.250004533653086,0.5491193804404823,0.23344407417814197,0.1978145517269947,0.23959281266393193,0.0828614299010411,23064.0,60.01339990300039,limite de temps,23347.0
OR10x100-0.25_10.dat,orlib-mkp,MKP-OR10x100,100,10,,22039.0,0.0011178989989275578,23090.58425222369,100,10,0.25000363202863646,0.5476272415753768,0.19778595572717775,0.18222630507699172,0.21816573874419595,0.045541690965330096,22702.0,60.01121370399778,limite de temps,22894.0
OR10x100-0.25_2.dat,orlib-mkp,MKP-OR10x100,100,10,,21156.0,0.000825397000880912,23220.68577706711,100,10,0.25000056097336065,0.5599812268745111,0.2148621834724896,0.19106434108416867,0.22577213229577872,0.08891579675507279,22750.0,60.0079593440023,limite de temps,23087.0
OR10x100-0.25_3.dat,orlib-mkp,MKP-OR10x100,100,10,,19942.0,0.0010605130009935237,22493.743573303043,100,10,0.25000662813782204,0.6521656121981108,0.19792612588718966,0.19118327243771988,0.23615323500627014,0.11344236965213782,22131.0,60.008977655998024,limite de temps,22337.0
OR10x100-0.25_4.dat,orlib-mkp,MKP-OR10x100,100,10,,20534.0,0.0011240179992455523,23087.472427317825,100,10,0.25000187035984744,0.5424041153923982,0.1946397871392685,0.16676320393364957,0.21412281967841074,0.11059991237050602,22772.0,60.00966497899935,limite de temps,22990.0
OR10x100-0.25_5.dat,orlib-mkp,MKP-OR10x100,100,10,,20867.0,0.0010019699984695762,23073.878253808274,100,10,0.2500016138096432,0.5350953885554284,0.20788621423526032,0.18482956225995087,0.2256443544051693,0.09564401049242927,22751.0,49.90345295299994,optimal,22750.999999999996
OR10x100-0.25_6.dat,orlib-mkp,MKP-OR10x100,100,10,,21451.0,0.0010908139993262012,23053.4873441764,100,10,0.2500004189209274,0.5661067764887758,0.2035176713629235,0.17161897829561357,0.2193374002481188,0.06951171075560539,22716.0,60.00593584700255,limite de temps,23001.0
OR10x100-0.25_7.dat,orlib-mkp,MKP-OR10x100,100,10,,20696.0,0.0010849020000023302,22257.79259890281,100,10,0.24999883440086762,0.567458789843029,0.21604645951063686,0.20176432846760403,0.2348162501659296,0.07016835079053615,21875.0,60.00888351100002,limite de temps,22070.0
OR10x100-0.25_8.dat,orlib-mkp,MKP-OR10x100,100,10,,20588.0,0.001356739998300327,22964.168710885846,100,10,0.25000244717882475,0.48921996748085095,0.2209160660135095,0.19278800781877317,0.23158723624262054,0.10347288163579185,22551.0,60.00779797699943,limite de temps,22807.0
OR10x100-0.25_9.dat,orlib-mkp,MKP-OR10x100,100,10,,20234.0,0.0009932370012393221,22882.4377961237,100,10,0.25000256380908764,0.5213729855978813,0.23896189853311264,0.20241174640149798,0.2330909244516705,0.11574106831276289,22423.0,60.00902259600116,limite de temps,22708.0
OR5x250-0.25_1.dat,orlib-mkp,MKP-OR5x250,250,5,,55878.0,0.0024714399987715296,59442.47029270049,250,5,0.250002056715198,0.6341145118417191,0.2603490223301848,0.25274922152336604,0.26636818817738206,0.059965043093745826,59243.0,60.00770530899899,limite de temps,59402.0
OR5x250-0.25_10.dat,orlib-mkp,MKP-OR5x250,250,5,,56495.0,0.002243823000753764,59050.4736182838,250,5,0.25000314403274065,0.7319865036798553,0.2456902125049906,0.2688091703056889,0.2674961199643185,0.043276090125931706,58869.0,60.005694944000425,limite de temps,59036.0
OR5x250-0.25_2.dat,orlib-mkp,MKP-OR5x250,250,5,,58102.0,0.0029853939995518886,61629.33600383675,250,5,0.25000246310222884,0.6222481477555546,0.24524748946922043,0.25260798869735973,0.24635545755788155,0.05723469101820522,61468.0,60.01624863300094,limite de temps,61587.0
